case_id,axis,role,role_label,persona_id,persona_name,persona_profile,viewpoint_id,viewpoint,title,precondition,steps_text,expected_text,user_value,priority,exec_spec
RC-pmo-01,role,pmo,PMO担当,,,,VP01,ログインとテナント・案件の切替,PMO担当としてログインとテナント・案件の切替,PMO担当でログイン済み。対象案件にpmoとして参加している。,GET accounts:select_tenant → GET accounts:select_project → POST accounts:select_project,参照は 200 で表示され、view を伴う操作も実行できる,見ている対象が常に画面に出ていて、案件を跨いだ数字の取り違えが起きない,P1,"{""steps"": [{""m"": ""GET"", ""u"": ""accounts:select_tenant"", ""expect"": {""status"": [200]}}, {""m"": ""GET"", ""u"": ""accounts:select_project"", ""expect"": {""status"": [200]}}, {""m"": ""POST"", ""u"": ""accounts:select_project"", ""data"": {""project"": ""{project_id}""}, ""expect"": {""status"": [302]}}]}"
RC-pmo-02,role,pmo,PMO担当,,,,VP02,管制ダッシュボードで全体状況を掴む,PMO担当として管制ダッシュボードで全体状況を掴む,PMO担当でログイン済み。対象案件にpmoとして参加している。,GET dashboard:control → GET core:screen_map,参照は 200 で表示され、view を伴う操作も実行できる,朝いちばんに開けば、どの案件が危ないかが1画面で分かる,P1,"{""steps"": [{""m"": ""GET"", ""u"": ""dashboard:control"", ""expect"": {""status"": [200]}}, {""m"": ""GET"", ""u"": ""core:screen_map"", ""expect"": {""status"": [200]}}]}"
RC-pmo-03,role,pmo,PMO担当,,,,VP03,WBSタスクの参照と絞り込み,PMO担当としてWBSタスクの参照と絞り込み,PMO担当でログイン済み。対象案件にpmoとして参加している。,GET dashboard:tasks → GET dashboard:tasks?due=overdue → GET dashboard:tasks?view=gantt,参照は 200 で表示され、view を伴う操作も実行できる,期限切れだけを一発で絞り込めて、追いかける対象がすぐ決まる,P1,"{""steps"": [{""m"": ""GET"", ""u"": ""dashboard:tasks"", ""expect"": {""status"": [200]}}, {""m"": ""GET"", ""u"": ""dashboard:tasks"", ""query"": {""due"": ""overdue""}, ""expect"": {""status"": [200]}}, {""m"": ""GET"", ""u"": ""dashboard:tasks"", ""query"": {""view"": ""gantt""}, ""expect"": {""status"": [200]}}]}"
RC-pmo-04,role,pmo,PMO担当,,,,VP04,WBSタスクの作成・編集・アーカイブ,PMO担当としてWBSタスクの作成・編集・アーカイブ,PMO担当でログイン済み。対象案件にpmoとして参加している。,GET projects:task_create → POST projects:task_create（taskフォーム送信） → POST projects:task_archive,参照は 200 で表示され、edit を伴う操作も実行できる,計画の変更をその場で反映でき、古い計画のまま議論しなくて済む,P0,"{""steps"": [{""m"": ""GET"", ""u"": ""projects:task_create"", ""expect"": {""status"": [200]}}, {""m"": ""POST"", ""u"": ""projects:task_create"", ""form"": ""task"", ""effect"": ""projects.WbsTask"", ""expect"": {""status"": [200, 302], ""permitted"": true}}, {""m"": ""POST"", ""u"": ""projects:task_archive"", ""args"": [""{task_id}""], ""expect"": {""status"": [200, 302], ""permitted"": true}}]}"
RC-pmo-05,role,pmo,PMO担当,,,,VP05,課題の起票とクローズ,PMO担当として課題の起票とクローズ,PMO担当でログイン済み。対象案件にpmoとして参加している。,GET projects:issue_list → POST projects:issue_create（issueフォーム送信） → POST projects:issue_close,参照は 200 で表示され、edit を伴う操作も実行できる,気づいた課題をその場で残せて、口頭で消えるのを防げる,P0,"{""steps"": [{""m"": ""GET"", ""u"": ""projects:issue_list"", ""expect"": {""status"": [200]}}, {""m"": ""POST"", ""u"": ""projects:issue_create"", ""form"": ""issue"", ""effect"": ""projects.Issue"", ""expect"": {""status"": [200, 302], ""permitted"": true}}, {""m"": ""POST"", ""u"": ""projects:issue_close"", ""args"": [""{issue_id}""], ""expect"": {""status"": [200, 302], ""permitted"": true}}]}"
RC-pmo-06,role,pmo,PMO担当,,,,VP06,リスクの登録と課題への転換,PMO担当としてリスクの登録と課題への転換,PMO担当でログイン済み。対象案件にpmoとして参加している。,GET dashboard:risk → POST projects:risk_create（riskフォーム送信） → GET projects:risk_promote,参照は 200 で表示され、edit を伴う操作も実行できる,顕在化したリスクを課題へ引き継げて、記録が途切れない,P0,"{""steps"": [{""m"": ""GET"", ""u"": ""dashboard:risk"", ""expect"": {""status"": [200]}}, {""m"": ""POST"", ""u"": ""projects:risk_create"", ""form"": ""risk"", ""effect"": ""projects.Risk"", ""expect"": {""status"": [200, 302], ""permitted"": true}}, {""m"": ""GET"", ""u"": ""projects:risk_promote"", ""args"": [""{risk_id}""], ""expect"": {""status"": [200], ""permitted"": true}}]}"
RC-pmo-07,role,pmo,PMO担当,,,,VP07,不具合の登録とクローズ,PMO担当として不具合の登録とクローズ,PMO担当でログイン済み。対象案件にpmoとして参加している。,GET projects:defect_list → POST projects:defect_create（defectフォーム送信） → POST projects:defect_close,参照は 200 で表示され、edit を伴う操作も実行できる,不具合の状態が一箇所に集まり、収束しているかを数字で言える,P0,"{""steps"": [{""m"": ""GET"", ""u"": ""projects:defect_list"", ""expect"": {""status"": [200]}}, {""m"": ""POST"", ""u"": ""projects:defect_create"", ""form"": ""defect"", ""effect"": ""projects.Defect"", ""expect"": {""status"": [200, 302], ""permitted"": true}}, {""m"": ""POST"", ""u"": ""projects:defect_close"", ""args"": [""{defect_id}""], ""expect"": {""status"": [200, 302], ""permitted"": true}}]}"
RC-pmo-08,role,pmo,PMO担当,,,,VP08,変更要求の起票と承認判断,PMO担当として変更要求の起票と承認判断,PMO担当でログイン済み。対象案件にpmoとして参加している。,GET dashboard:change → POST projects:change_decide,参照は 200 で表示され、approve を伴う操作も実行できる,誰がいつ何を理由に決めたかが残り、後から judgement を説明できる,P0,"{""steps"": [{""m"": ""GET"", ""u"": ""dashboard:change"", ""expect"": {""status"": [200]}}, {""m"": ""POST"", ""u"": ""projects:change_decide"", ""args"": [""{change_id}""], ""data"": {""decision"": ""approved"", ""reason"": ""システムテストによる判断""}, ""expect"": {""status"": [200, 302], ""permitted"": true}}]}"
RC-pmo-09,role,pmo,PMO担当,,,,VP09,予兆検知の実行と結果確認,PMO担当として予兆検知の実行と結果確認,PMO担当でログイン済み。対象案件にpmoとして参加している。,GET dashboard:detection → POST dashboard:detection_run,参照は 200 で表示され、edit を伴う操作も実行できる,定例報告を待たずに危ない兆候へ先回りできる,P0,"{""steps"": [{""m"": ""GET"", ""u"": ""dashboard:detection"", ""expect"": {""status"": [200]}}, {""m"": ""POST"", ""u"": ""dashboard:detection_run"", ""expect"": {""status"": [200, 302], ""permitted"": true}}]}"
RC-pmo-10,role,pmo,PMO担当,,,,VP10,進捗予測とAI介入提案の判断,PMO担当として進捗予測とAI介入提案の判断,PMO担当でログイン済み。対象案件にpmoとして参加している。,GET dashboard:progress → GET dashboard:intervention → POST dashboard:intervention_decide,参照は 200 で表示され、approve を伴う操作も実行できる,AI の提案を採るか採らないかの判断が証跡として残る,P0,"{""steps"": [{""m"": ""GET"", ""u"": ""dashboard:progress"", ""expect"": {""status"": [200]}}, {""m"": ""GET"", ""u"": ""dashboard:intervention"", ""expect"": {""status"": [200]}}, {""m"": ""POST"", ""u"": ""dashboard:intervention_decide"", ""args"": [""{proposal_id}""], ""data"": {""status"": ""accepted"", ""decision_reason"": ""システムテストによる判断""}, ""effect"": ""audit.OperationLog"", ""expect"": {""status"": [200, 302], ""permitted"": true}}]}"
