"画面","機能","概要","ディレクトリ有無","補足"
"ポートフォリオ・ダッシュボード","ヘルススコア一覧","進捗・予算・品質・稼働の総合評価","モックあり","AIプロジェクト管制、Project Atlas系デモに近い"
"ポートフォリオ・ダッシュボード","重要アラートカード","検知リスクのピン留め表示","モックあり","ai_project_control.py にアラート生成あり"
"ポートフォリオ・ダッシュボード","レポート工数KPI","基準値／実績／削減率","あり","ui_pmo_prototype.py にKPI・効果測定ストアあり"
"予兆検知・リスク管理","WBS／マイルストーン予実差分析","計画・実績差分の分析","一部あり","WBS/実績項目はあるが本格分析は未完成"
"予兆検知・リスク管理","クリティカルパス影響分析","後続工程への影響分析","一部あり","ルールベースのクリティカル遅延表示はある"
"予兆検知・リスク管理","品質・テスト状況可視化","消化率・バグ収束・非機能完了率","モックあり","Project Atlasの不具合・品質指標データ"
"予兆検知・リスク管理","サイレント炎上の先行検知","炎上兆候の早期検知","モックあり","リスク予測・介入提案として存在"
"予兆検知・リスク管理","検知タイミング比較","定例報告との先行比較","なし","N営業日先行の比較ロジックは未確認"
"予兆検知・リスク管理","滞留チケット・ブロッカー抽出","滞留・ブロック状態の抽出","モックあり","デモ課題・不具合・ブロック観点あり"
"成果物生成","週次・月次品質レポート生成","品質レポート生成","一部あり","週次・品質レポート系はあるが月次は明確でない"
"成果物生成","障害サマリー生成","障害・不具合要約","一部あり","不具合分析・品質レポート観点あり"
"成果物生成","議事録要約","会議メモの要約","一部あり","議事録・会議メモ系プロンプトあり"
"成果物生成","ToDo・決定事項抽出","議事録等から抽出","一部あり","minutes_todo 系の支援意図あり"
"成果物生成","編集可能エディタ","生成物を人が編集","あり","成果物ドラフト・テンプレート出力UIあり"
"成果物生成","品質チェック","事実誤認・赤字率・根拠確認","一部あり","根拠不足・抑制評価はあるが赤字率は弱い"
"成果物生成","承認フロー管理","HITL承認・修正依頼","一部あり","セッションベースの承認状態管理あり。本格WFではない"
"ナレッジ検索","過去障害事例検索","障害・不具合事例検索","一部あり","不具合管理PDF/RAG検索はある"
