id,activity,trigger,defect_type,qualifier,impact,cases,summary
D-01,SystemTest,VARIATION,CHECK,MISSING,SECURITY,14,AI介入提案の判断に承認権限の検査が無く、参照専用でも決定を記録できる
D-02,SystemTest,VARIATION,CHECK,MISSING,SECURITY,7,課題の起票に編集権限の検査が無く、参照専用でもレコードが作られる
D-03,SystemTest,VARIATION,CHECK,MISSING,SECURITY,7,予兆検知の実行に編集権限の検査が無く、参照専用でもアラートを生成できる
D-04,SystemTest,VARIATION,CHECK,MISSING,SECURITY,6,変更要求の編集フォームが参照専用にも開き、POST で内容を書き換えられる
D-05,SystemTest,VARIATION,CHECK,MISSING,SECURITY,2,成果物の承認に承認権限の検査が無く、参照専用でも確定できる
D-06,SystemTest,VARIATION,CHECK,MISSING,SECURITY,1,WBSタスクの作成に編集権限の検査が無い
D-07,SystemTest,VARIATION,CHECK,MISSING,SECURITY,1,リスクの登録に編集権限の検査が無い
D-08,SystemTest,VARIATION,CHECK,MISSING,SECURITY,1,不具合の登録に編集権限の検査が無い
D-09,SystemTest,VARIATION,CHECK,MISSING,SECURITY,1,文書アップロードに編集権限の検査が無く、参照専用でも検索対象を増やせる
D-10,SystemTest,VARIATION,CHECK,MISSING,SECURITY,1,RAGチャットの送信に編集権限の検査が無く、参照専用でもAI実行を起こせる
S-XXX-01,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,認可の集約点が用意されているのに projects 以外から呼ばれていない
S-DSH-01,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,検知実行に権限検査が無い
S-DSH-02,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,介入判断に権限検査が無い
S-DSH-03,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,STANDARDS,0,HTTPメソッド制限が無い
S-PMO-01,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,承認に権限検査が無い
S-PMO-02,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,自己承認を止められない（四眼原則なし）
S-PMO-03,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,成果物の生成・保存に権限検査が無い
S-PMO-04,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,トレースが案件メンバー外にも見える
S-PRJ-01,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,15ビューに編集権限の検査が無い
S-PRJ-02,Inspection,DESIGN_CONFORMANCE,CHECK,INCORRECT,SECURITY,0,承認判定が案件役割を見ていない
S-INT-01,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,疎通確認・同期に管理者検査が無い
S-DOC-01,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,文書登録に権限検査が無い
S-DOC-02,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,再抽出に権限検査もレート制限も無い
S-RAG-05,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,評価実行・Golden登録に権限検査が無い
S-AUD-01,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,監査ログが全ロールに開放されている
S-AUD-03,Inspection,RARE_SITUATION,ALGO,INCORRECT,SECURITY,0,秘密値のマスクパターンが OpenAI 形式しか覆っていない
S-DOC-03,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,DEBUG時に文書が認証なしで公開される
S-INT-02,Inspection,RARE_SITUATION,CHECK,MISSING,SECURITY,0,テナント未選択時に全テナントが混在する
S-DOC-04,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,アップロード検証が拡張子のみ
S-DOC-06,Inspection,RARE_SITUATION,ALGO,INCORRECT,RELIABILITY,0,大きいファイルで seek の扱いが実装依存
S-DOC-07,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,ひな型ファイルに検証が無い
S-INT-04,Inspection,SIDE_EFFECTS,ASSIGN,INCORRECT,SECURITY,0,同期の失敗詳細に例外本文をそのまま保存する
S-INT-05,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,SECURITY,0,同期履歴にマスクが掛かっていない
S-RAG-01,Inspection,RARE_SITUATION,IFACE,INCORRECT,RELIABILITY,0,業務データ由来チャンクは document が無いのに参照しており評価画面が落ちる
S-RAG-02,Inspection,RARE_SITUATION,IFACE,INCORRECT,RELIABILITY,0,同上（静的チェック）
S-RAG-03,Inspection,LATERAL_COMPAT,IFACE,INCORRECT,RELIABILITY,0,Embedding の次元が変わると検索が落ちる。再構築要否の検知が画面から参照されていない
S-DSH-07,Inspection,INTERNAL_DOC,CHECK,MISSING,RELIABILITY,0,「1つ落ちても他を止めない」と書いてあるのに例外を捕まえていない
S-DSH-08,Inspection,RARE_SITUATION,CHECK,MISSING,RELIABILITY,0,更新日時の未設定を守っていない
S-PMO-05,Inspection,RARE_SITUATION,CHECK,MISSING,RELIABILITY,0,不正なUUIDで500になる
S-DSH-09,Inspection,RARE_SITUATION,ALGO,INCORRECT,PERFORMANCE,0,営業日計算が1日ずつのループ
S-RAG-04,Inspection,LOGIC_FLOW,FUNC,EXTRANEOUS,MAINTENANCE,0,使われていない関数が壊れたまま残っている
S-DSH-17,Inspection,LOGIC_FLOW,ALGO,INCORRECT,USABILITY,0,「重要度順」が文字列順で、警告が情報より下に落ちる
S-DSH-13,Inspection,COVERAGE,FUNC,MISSING,CAPABILITY,0,ガントにページャが無く51件目以降へ行けない
S-DSH-14,Inspection,LOGIC_FLOW,ALGO,INCORRECT,USABILITY,0,進捗KPIが上限20で頭打ちになり他画面と食い違う
S-DSH-15,Inspection,LOGIC_FLOW,ALGO,INCORRECT,USABILITY,0,マイルストーンが30件で打ち切られる
S-DSH-16,Inspection,COVERAGE,FUNC,MISSING,PERFORMANCE,0,5画面がページング無しで全件を展開する
S-DSH-12,Inspection,LOGIC_FLOW,ALGO,INCORRECT,USABILITY,0,消化率が無変換で、複数案件では1案件の値を全体値にする
S-DSH-10,Inspection,RARE_SITUATION,ALGO,INCORRECT,USABILITY,0,案件0件を「要対応」と表示する
S-DSH-11,Inspection,RARE_SITUATION,CHECK,MISSING,USABILITY,0,有効ルール0件でも遵守率100%と表示する
S-DSH-19,Inspection,LOGIC_FLOW,ALGO,INCORRECT,USABILITY,0,改善率の丸めで悪化が悪化に見えない
S-DSH-04,Inspection,DESIGN_CONFORMANCE,REL,INCORRECT,USABILITY,0,PoCの母数だけ案件スコープを無視する
S-DSH-05,Inspection,SIDE_EFFECTS,ASSIGN,EXTRANEOUS,USABILITY,0,文書索引率が案件絞り込みを無視し、代入がデッドコード
S-AUD-02,Inspection,LOGIC_FLOW,ALGO,INCORRECT,USABILITY,0,主キーがUUIDなのに数値判定しており、利用者の絞り込みが黙って無視される
S-PRJ-03,Inspection,LATERAL_COMPAT,IFACE,INCORRECT,USABILITY,0,存在しないフィールドを参照し工数列が常に空
