"画面","機能","概要","補足"
"ドキュメント管理","PDF/Office取込","PDF/Excel/Word/PPTをJSON化して台帳管理","99.scripts とアプリ管理UI"
"ドキュメント管理","index_map.json 管理","active/excluded/deleted等の文書状態管理","本番パス混在リスクあり"
"ドキュメント管理","FAISS/lexical index再構築","Embedding、FAISS、lexical index生成","build_faiss_min.py"
"RAG検索","ハイブリッド検索","FAISS + lexical + rerank/query expansion","一部はまだ巨大アプリ内"
"RAG検索","RAGチャット履歴","RAG回答・チャット履歴保存","07.feedback 配下JSONL"
"プロジェクトRAG","案件別ナレッジ領域","08.projects 配下に案件別文書・indexを持つ","custom project対応あり"
"テンプレート","Excelテンプレート登録","テンプレート台帳・項目マッピング","template_registry.json"
"テンプレート","Excel成果物出力","既存ExcelシートへのAI入力・安全出力","非機能要求定義書、構成管理台帳など"
"PMO支援","PMOコーチ/プロンプトライブラリ","PMOタスク別の支援プロンプト","旧PMO支援メニュー側"
"PMO支援","計画策定エージェント","計画ドラフト生成・レビュー観点チェック","planning_agent.py"
"PMO支援","PMO Orchestrator MVP","intent分類、観点整理、trace、根拠候補対応表","ルールベースMVP"
"AIプロジェクト管制","介入提案","遅延・品質・リスク・変更から次アクション提案","Project Atlasデモ中心"
"デモ・検証","Project Atlas","合成プロジェクトによるデモシナリオ","WBS/課題/リスク/不具合/変更/品質指標"
"評価","Golden Dataset評価","G01-G10によるRAG検索・回答評価","eval 配下"
"評価","APIなし検索評価","chunks/lexicalだけでTop-K評価","run_offline_retrieval_eval.py"
"評価","API回答評価dry-run","引用・抑制・必須セクション確認","run_api_answer_eval.py"
"評価","静的チェック","index/chunks/golden/schema整合確認","run_static_checks.py"
"フィードバック","PoCフィードバック","レビューコメント保存、秘密情報マスク","poc_feedback.py"
"運用・設定","OpenAI/Ollama/local_hash設定","生成・Embedding provider切替","settings.py、設定画面"
"運用・設定","管理者ページ","文書削除・状態管理など","ハードコード管理パスワード等のリスクあり"
